source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_1370044_POSCAR,5.8257922451,11.6486,4.8506,298.8616,10.3708,-2.6565649411016E-01
Hg2W2O7_1370044_POSCAR,6.1899042605,10.0780,4.0501,298.8616,10.3708,-2.2271289477288E-01
Hg2W2O7_1370044_POSCAR,5.4616802298,13.9378,5.8176,298.8616,10.3708,-3.2604070189339E-01
Hg2W2O7_1370044_POSCAR,6.5540162758,8.7632,3.4054,298.8616,10.3708,-1.8624976679118E-01
Hg2W2O7_1370044_POSCAR,6.9181282911,7.5419,2.8951,298.8616,10.3708,-1.5786849232635E-01
Hg2W2O7_1370044_POSCAR,7.2822403064,6.4077,2.4824,298.8616,10.3716,-1.3480785430006E-01
Hg2W2O7_1370044_POSCAR,8.0104643371,4.4908,1.8376,298.8616,10.5053,-1.1164862414024E-01
Hg2W2O7_1370044_POSCAR,7.6463523218,5.3907,2.1400,298.8616,10.3835,-1.1606576839649E-01
Hg2W2O7_1370044_POSCAR,8.3745763524,3.6656,1.5641,298.8616,11.2030,-9.8978124864689E-02
Hg2W2O7_1370044_POSCAR,8.7386883677,2.8894,1.3265,298.8616,12.2678,-8.8772537276493E-02
Hg2W2O7_1370044_POSCAR,9.4669123984,1.5911,0.9316,298.8660,12.8631,-7.2311568618594E-02
Hg2W2O7_1370044_POSCAR,9.1028003830,2.1859,1.1214,298.8616,12.7022,-7.9926749691506E-02
Hg2W2O7_1370044_POSCAR,9.8310244137,1.1199,0.7449,305.9071,13.1192,-6.5754205862358E-02
Hg2W2O7_1370044_POSCAR,10.1951364290,0.7673,0.5660,360.2944,13.7571,-6.1858354736754E-02
Hg2W2O7_1370044_POSCAR,10.5592484443,0.5173,0.4097,362.0413,14.5680,-5.7010162202760E-02
Hg2W2O7_1370044_POSCAR,10.9233604597,0.3473,0.2863,362.0732,15.0561,-5.3262833495800E-02
Hg2W2O7_1370044_POSCAR,11.2874724750,0.2345,0.1965,362.0751,15.2650,-4.8373577112472E-02
Hg2W2O7_1370044_POSCAR,11.6515844903,0.1604,0.1343,362.0754,15.3535,-4.3980609028891E-02
Hg2W2O7_1370044_POSCAR,12.0156965056,0.1115,0.0923,362.0754,15.3949,-4.1501659792417E-02
Hg2W2O7_1370044_POSCAR,12.3798085209,0.0788,0.0642,362.0755,15.4164,-3.8198916537427E-02
Hg2W2O7_1370044_POSCAR,12.7439205363,0.0568,0.0454,362.0755,15.4285,-3.4995903122575E-02
Hg2W2O7_1370044_POSCAR,13.1080325516,0.0417,0.0325,362.0755,15.4358,-3.2100746371279E-02
Hg2W2O7_1370044_POSCAR,13.8362565822,0.0235,0.0176,362.0755,15.4435,-2.6375780902789E-02
Hg2W2O7_1370044_POSCAR,13.4721445669,0.0311,0.0237,362.0755,15.4404,-2.9189008150837E-02
Hg2W2O7_1370044_POSCAR,14.2003685976,0.0181,0.0132,362.0755,15.4455,-2.3832179575750E-02
Hg2W2O7_1370044_POSCAR,14.5644806129,0.0141,0.0101,362.0755,15.4470,-2.1569203973721E-02
Hg2W2O7_1370044_POSCAR,14.9285926282,0.0112,0.0078,362.0755,15.4480,-1.9536669985146E-02
Hg2W2O7_1370044_POSCAR,15.2927046435,0.0089,0.0061,362.0755,15.4488,-1.7690337602188E-02
Hg2W2O7_1370044_POSCAR,15.6568166588,0.0072,0.0049,362.0755,15.4493,-1.6012971304164E-02
Hg2W2O7_1370044_POSCAR,16.0209286742,0.0059,0.0039,362.0755,15.4497,-1.4501434751681E-02
Hg2W2O7_1370044_POSCAR,16.3850406895,0.0049,0.0032,362.0755,15.4501,-1.3154771600189E-02
Hg2W2O7_1370044_POSCAR,16.7491527048,0.0041,0.0026,362.0755,15.4503,-1.1967075168051E-02
Hg2W2O7_1370044_POSCAR,17.1132647201,0.0034,0.0022,362.0755,15.4505,-1.0925948330740E-02
Hg2W2O7_1370044_POSCAR,17.4773767354,0.0029,0.0018,362.0755,15.4507,-1.0013715000138E-02
Hg2W2O7_1370044_POSCAR,17.8414887508,0.0024,0.0015,362.0755,15.4508,-9.2101420338912E-03
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_754961_POSCAR,2.8891962225,17.6776,4.4947,298.8616,10.3708,-3.2627218829845E-01
Hg2W2O7_754961_POSCAR,3.4670354670,7.9940,2.3436,298.8616,10.3733,-2.0252894916920E-01
Hg2W2O7_754961_POSCAR,3.2744223855,10.6602,2.8751,298.8616,10.3708,-2.3056091253856E-01
Hg2W2O7_754961_POSCAR,3.0818093040,13.9089,3.5502,298.8616,10.3708,-2.6933133790211E-01
Hg2W2O7_754961_POSCAR,3.6596485485,5.9329,1.9108,298.8616,10.4477,-1.7983985479097E-01
Hg2W2O7_754961_POSCAR,4.0448747115,3.4227,1.3380,298.8616,12.2272,-1.5428883878488E-01
Hg2W2O7_754961_POSCAR,3.8522616300,4.4467,1.5727,298.8616,11.1657,-1.5996662074412E-01
Hg2W2O7_754961_POSCAR,4.2374877930,2.7168,1.1905,298.8616,12.6070,-1.3577131488801E-01
Hg2W2O7_754961_POSCAR,4.4301008745,2.1978,1.0965,298.8616,12.7286,-1.1741401435601E-01
Hg2W2O7_754961_POSCAR,4.8153270375,1.4155,0.9499,298.9331,12.8482,-8.8534170152541E-02
Hg2W2O7_754961_POSCAR,4.6227139560,1.7775,1.0246,298.8618,12.7910,-1.0198225352924E-01
Hg2W2O7_754961_POSCAR,5.0079401190,1.0977,0.8545,308.4396,12.9387,-7.6994622110192E-02
Hg2W2O7_754961_POSCAR,5.2005532005,0.8208,0.7312,358.0553,13.1510,-7.0688777753075E-02
Hg2W2O7_754961_POSCAR,5.5857793635,0.4108,0.4444,362.0692,14.3928,-5.5671412143834E-02
Hg2W2O7_754961_POSCAR,5.3931662820,0.5900,0.5879,361.9668,13.6532,-6.2450454208507E-02
Hg2W2O7_754961_POSCAR,5.7783924450,0.2810,0.3199,362.0747,14.9470,-5.4716183759143E-02
Hg2W2O7_754961_POSCAR,5.9710055265,0.1915,0.2233,362.0753,15.2140,-4.8266510328834E-02
Hg2W2O7_754961_POSCAR,6.3562316895,0.0912,0.1057,362.0755,15.3831,-3.7754158438276E-02
Hg2W2O7_754961_POSCAR,6.1636186080,0.1313,0.1537,362.0754,15.3298,-4.2519782867493E-02
Hg2W2O7_754961_POSCAR,6.5488447710,0.0644,0.0732,362.0755,15.4100,-3.3858395236433E-02
Hg2W2O7_754961_POSCAR,6.7414578525,0.0463,0.0513,362.0755,15.4249,-3.0667718213636E-02
Hg2W2O7_754961_POSCAR,6.9340709340,0.0338,0.0365,362.0755,15.4336,-2.8004790220327E-02
Hg2W2O7_754961_POSCAR,7.1266840155,0.0252,0.0264,362.0755,15.4391,-2.5703421556663E-02
Hg2W2O7_754961_POSCAR,7.3192970970,0.0191,0.0193,362.0755,15.4426,-2.3634658044720E-02
Hg2W2O7_754961_POSCAR,7.5119101785,0.0147,0.0144,362.0755,15.4450,-2.1715221240925E-02
Hg2W2O7_754961_POSCAR,7.7045232600,0.0114,0.0109,362.0755,15.4466,-1.9900034139745E-02
Hg2W2O7_754961_POSCAR,7.8971363415,0.0091,0.0084,362.0755,15.4478,-1.8173964901697E-02
Hg2W2O7_754961_POSCAR,8.0897494230,0.0072,0.0065,362.0755,15.4486,-1.6540722325735E-02
Hg2W2O7_754961_POSCAR,8.2823625045,0.0059,0.0051,362.0755,15.4492,-1.5011081856843E-02
Hg2W2O7_754961_POSCAR,8.4749755860,0.0048,0.0041,362.0755,15.4497,-1.3596558398862E-02
Hg2W2O7_754961_POSCAR,8.6675886675,0.0039,0.0033,362.0755,15.4500,-1.2304968785223E-02
Hg2W2O7_754961_POSCAR,9.0528148305,0.0028,0.0022,362.0755,15.4505,-1.0078988440917E-02
Hg2W2O7_754961_POSCAR,8.8602017490,0.0033,0.0027,362.0755,15.4503,-1.1134485678803E-02
Hg2W2O7_754961_POSCAR,9.2454279120,0.0023,0.0018,362.0755,15.4507,-9.1274805793199E-03
Hg2W2O7_754961_POSCAR,9.4380409935,0.0020,0.0015,362.0755,15.4508,-8.2676467864809E-03
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_757196_POSCAR,4.3437822727,8.9858,2.4951,298.8616,10.3716,-2.1167550238648E-01
Hg2W2O7_757196_POSCAR,3.8327490641,14.4789,3.4343,298.8616,10.3708,-3.0306837034638E-01
Hg2W2O7_757196_POSCAR,4.0882656684,11.4825,2.8773,298.8616,10.3708,-2.5072501660257E-01
Hg2W2O7_757196_POSCAR,4.5992988770,6.9168,2.2569,298.8616,10.3758,-1.8107149643258E-01
Hg2W2O7_757196_POSCAR,4.8548154812,5.2089,2.1133,298.8616,10.3865,-1.5611827271207E-01
Hg2W2O7_757196_POSCAR,5.6213652941,2.3329,1.7058,298.8616,10.7200,-1.1039918471666E-01
Hg2W2O7_757196_POSCAR,5.1103320855,3.8942,2.0029,298.8616,10.4083,-1.3492052490515E-01
Hg2W2O7_757196_POSCAR,5.3658486898,2.9725,1.8763,298.8616,10.4711,-1.1644951411175E-01
Hg2W2O7_757196_POSCAR,6.3879151069,1.1724,1.0498,302.1204,12.7708,-7.3901649810301E-02
Hg2W2O7_757196_POSCAR,5.8768818983,1.8579,1.4956,298.8617,11.5234,-9.5927955006445E-02
Hg2W2O7_757196_POSCAR,6.1323985026,1.4828,1.2713,298.8862,12.4353,-8.4333504724849E-02
Hg2W2O7_757196_POSCAR,6.6434317112,0.9032,0.8344,349.3371,12.9637,-6.8357503965142E-02
Hg2W2O7_757196_POSCAR,7.1544649197,0.4746,0.4537,362.0582,14.3443,-5.5726124930038E-02
Hg2W2O7_757196_POSCAR,6.8989483154,0.6684,0.6310,361.6982,13.4684,-6.1976298284192E-02
Hg2W2O7_757196_POSCAR,7.4099815240,0.3269,0.3141,362.0738,14.9671,-5.5294867388748E-02
Hg2W2O7_757196_POSCAR,7.6654981283,0.2221,0.2130,362.0752,15.2346,-5.0509917196385E-02
Hg2W2O7_757196_POSCAR,8.4320479411,0.0720,0.0670,362.0755,15.4145,-3.5775157311494E-02
Hg2W2O7_757196_POSCAR,7.9210147325,0.1508,0.1437,362.0754,15.3425,-4.4731305719255E-02
Hg2W2O7_757196_POSCAR,8.1765313368,0.1034,0.0975,362.0755,15.3905,-3.9835379293564E-02
Hg2W2O7_757196_POSCAR,8.6875645454,0.0509,0.0467,362.0755,15.4277,-3.2393465469492E-02
Hg2W2O7_757196_POSCAR,9.7096309625,0.0153,0.0131,362.0755,15.4456,-2.2767337335004E-02
Hg2W2O7_757196_POSCAR,9.1985977539,0.0269,0.0239,362.0755,15.4403,-2.7033976733255E-02
Hg2W2O7_757196_POSCAR,8.9430811496,0.0367,0.0331,362.0755,15.4355,-2.9525231500927E-02
Hg2W2O7_757196_POSCAR,9.4541143582,0.0201,0.0175,362.0755,15.4435,-2.4809557844689E-02
Hg2W2O7_757196_POSCAR,10.2206641710,0.0092,0.0076,362.0755,15.4481,-1.9013363909770E-02
Hg2W2O7_757196_POSCAR,9.9651475667,0.0118,0.0099,362.0755,15.4471,-2.0846475137725E-02
Hg2W2O7_757196_POSCAR,10.4761807753,0.0073,0.0059,362.0755,15.4489,-1.7265117071473E-02
Hg2W2O7_757196_POSCAR,10.7316973796,0.0059,0.0047,362.0755,15.4494,-1.5616932838874E-02
Hg2W2O7_757196_POSCAR,11.4982471924,0.0032,0.0025,362.0755,15.4504,-1.1439399364891E-02
Hg2W2O7_757196_POSCAR,11.7537637967,0.0027,0.0020,362.0755,15.4506,-1.0315616592241E-02
Hg2W2O7_757196_POSCAR,10.9872139838,0.0048,0.0037,362.0755,15.4498,-1.4088933402521E-02
Hg2W2O7_757196_POSCAR,11.2427305881,0.0039,0.0030,362.0755,15.4501,-1.2694983683081E-02
Hg2W2O7_757196_POSCAR,12.0092804010,0.0023,0.0017,362.0755,15.4507,-9.3110879143007E-03
Hg2W2O7_757196_POSCAR,12.2647970052,0.0020,0.0014,362.0755,15.4508,-8.4096834799462E-03
Hg2W2O7_757196_POSCAR,12.5203136095,0.0017,0.0012,362.0755,15.4509,-7.5974545876929E-03
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_772206_POSCAR,5.2079195457,13.8964,3.0991,298.8616,10.3708,-2.7110779427826E-01
Hg2W2O7_772206_POSCAR,5.8589094889,8.0766,2.2957,298.8616,10.3745,-2.0273857404317E-01
Hg2W2O7_772206_POSCAR,5.5334145173,10.7392,2.5752,298.8616,10.3712,-2.3175929222059E-01
Hg2W2O7_772206_POSCAR,4.8824245741,17.5097,4.0400,298.8616,10.3708,-3.2859489820655E-01
Hg2W2O7_772206_POSCAR,6.8353944037,3.3742,1.9483,298.8616,10.4283,-1.5081912015525E-01
Hg2W2O7_772206_POSCAR,6.5098994321,4.4238,2.0471,298.8616,10.3973,-1.5931276715723E-01
Hg2W2O7_772206_POSCAR,7.1608893753,2.6788,1.8137,298.8616,10.5317,-1.3577649734384E-01
Hg2W2O7_772206_POSCAR,6.1844044605,5.9687,2.1457,298.8616,10.3829,-1.7917849707946E-01
Hg2W2O7_772206_POSCAR,7.8118793185,1.7809,1.4006,298.8618,11.9749,-1.0251895467070E-01
Hg2W2O7_772206_POSCAR,8.4628692617,1.1146,0.9162,306.4509,12.8763,-7.7333104627075E-02
Hg2W2O7_772206_POSCAR,7.4863843469,2.1827,1.6275,298.8616,10.9511,-1.1780656019634E-01
Hg2W2O7_772206_POSCAR,8.1373742901,1.4289,1.1574,298.9194,12.6572,-8.9058410028751E-02
Hg2W2O7_772206_POSCAR,8.7883642333,0.8376,0.6907,356.9267,13.2604,-7.1028323184674E-02
Hg2W2O7_772206_POSCAR,9.1138592049,0.6045,0.4963,361.9385,14.1176,-6.2820563003578E-02
Hg2W2O7_772206_POSCAR,9.4393541765,0.4221,0.3437,362.0680,14.8584,-5.6066862140589E-02
Hg2W2O7_772206_POSCAR,9.7648491481,0.2892,0.2333,362.0746,15.1927,-5.5142280096292E-02
Hg2W2O7_772206_POSCAR,10.0903441197,0.1972,0.1575,362.0753,15.3248,-4.8655797137229E-02
Hg2W2O7_772206_POSCAR,10.4158390913,0.1352,0.1069,362.0754,15.3819,-4.2874327339874E-02
Hg2W2O7_772206_POSCAR,11.0668290345,0.0662,0.0512,362.0755,15.4249,-3.4114969377645E-02
Hg2W2O7_772206_POSCAR,10.7413340629,0.0939,0.0734,362.0755,15.4098,-3.8063237188608E-02
Hg2W2O7_772206_POSCAR,11.3923240061,0.0475,0.0363,362.0755,15.4337,-3.0871508944510E-02
Hg2W2O7_772206_POSCAR,11.7178189777,0.0347,0.0262,362.0755,15.4391,-2.8161058577411E-02
Hg2W2O7_772206_POSCAR,12.0433139493,0.0258,0.0193,362.0755,15.4426,-2.5823147837025E-02
Hg2W2O7_772206_POSCAR,12.3688089209,0.0195,0.0144,362.0755,15.4450,-2.3728101452867E-02
Hg2W2O7_772206_POSCAR,12.6943038925,0.0150,0.0109,362.0755,15.4466,-2.1790340270850E-02
Hg2W2O7_772206_POSCAR,13.0197988641,0.0117,0.0084,362.0755,15.4478,-1.9961824522658E-02
Hg2W2O7_772206_POSCAR,13.3452938357,0.0092,0.0065,362.0755,15.4486,-1.8225385204640E-02
Hg2W2O7_772206_POSCAR,13.6707888073,0.0074,0.0052,362.0755,15.4492,-1.6583039255566E-02
Hg2W2O7_772206_POSCAR,13.9962837790,0.0060,0.0041,362.0755,15.4497,-1.5045285619078E-02
Hg2W2O7_772206_POSCAR,14.3217787506,0.0049,0.0033,362.0755,15.4500,-1.3623648695924E-02
Hg2W2O7_772206_POSCAR,14.6472737222,0.0040,0.0027,362.0755,15.4503,-1.2325202630126E-02
Hg2W2O7_772206_POSCAR,14.9727686938,0.0033,0.0022,362.0755,15.4505,-1.1149820872892E-02
Hg2W2O7_772206_POSCAR,15.6237586370,0.0024,0.0016,362.0755,15.4508,-9.1347258276988E-03
Hg2W2O7_772206_POSCAR,15.2982636654,0.0028,0.0019,362.0755,15.4506,-1.0089651863225E-02
Hg2W2O7_772206_POSCAR,15.9492536086,0.0020,0.0013,362.0755,15.4509,-8.2724574790723E-03
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
Hg2W2O7_774407,0.0000000000,read,real,scaling,value,N/A
