source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1221818_POSCAR,4.0433123777,12.8307,2.2913,113.8463,10.3746,-8.8031592597189E-02
Mn2V2O7_1221818_POSCAR,3.7906053541,14.6993,2.6157,113.8463,10.3711,-1.0542504284633E-01
Mn2V2O7_1221818_POSCAR,4.5487264249,8.3259,2.0831,113.8463,10.3907,-6.2473503341635E-02
Mn2V2O7_1221818_POSCAR,4.2960194013,10.5624,2.1501,113.8463,10.3825,-7.4012034051422E-02
Mn2V2O7_1221818_POSCAR,5.3068474958,3.0669,2.0060,239.5554,10.4074,-4.9648525094595E-02
Mn2V2O7_1221818_POSCAR,4.8014334486,6.3395,2.0481,113.8463,10.3971,-5.3075948443887E-02
Mn2V2O7_1221818_POSCAR,5.0541404722,4.5729,2.0262,239.5554,10.4021,-5.6149747802741E-02
Mn2V2O7_1221818_POSCAR,5.5595545194,1.9265,1.9767,239.5556,10.4169,-4.5073018299918E-02
Mn2V2O7_1221818_POSCAR,5.8122615430,1.1659,1.9228,243.4118,10.4409,-4.1472805143614E-02
Mn2V2O7_1221818_POSCAR,6.0649685666,0.7008,1.8237,676.8746,10.5201,-5.4334728259424E-02
Mn2V2O7_1221818_POSCAR,6.3176755902,0.4270,1.6581,798.3959,10.8498,-5.1603067669483E-02
Mn2V2O7_1221818_POSCAR,6.5703826138,0.2666,1.4196,802.2149,11.8892,-4.4689240235860E-02
Mn2V2O7_1221818_POSCAR,6.8230896374,0.1713,1.1319,802.5957,12.6899,-3.8994915366911E-02
Mn2V2O7_1221818_POSCAR,7.0757966610,0.1133,0.8430,802.6771,12.9527,-3.4867464622409E-02
Mn2V2O7_1221818_POSCAR,7.3285036846,0.0770,0.5957,802.7041,13.6176,-3.1065641074299E-02
Mn2V2O7_1221818_POSCAR,7.5812107082,0.0537,0.4079,802.7157,14.5765,-3.3270415377454E-02
Mn2V2O7_1221818_POSCAR,7.8339177319,0.0384,0.2758,802.7217,15.0865,-3.8041495467397E-02
Mn2V2O7_1221818_POSCAR,8.0866247555,0.0281,0.1866,802.7251,15.2817,-3.3594851741301E-02
Mn2V2O7_1221818_POSCAR,8.3393317791,0.0209,0.1273,802.7272,15.3613,-2.9515915318102E-02
Mn2V2O7_1221818_POSCAR,8.5920388027,0.0159,0.0881,802.7285,15.3985,-2.5979882577401E-02
Mn2V2O7_1221818_POSCAR,9.3501598735,0.0077,0.0321,802.7306,15.4360,-1.8456146072156E-02
Mn2V2O7_1221818_POSCAR,9.0974528499,0.0096,0.0442,802.7301,15.4292,-2.0499697104747E-02
Mn2V2O7_1221818_POSCAR,8.8447458263,0.0123,0.0619,802.7294,15.4180,-2.2985440020841E-02
Mn2V2O7_1221818_POSCAR,9.6028668971,0.0062,0.0237,802.7309,15.4404,-1.6755368194868E-02
Mn2V2O7_1221818_POSCAR,9.8555739207,0.0051,0.0178,802.7312,15.4434,-1.5294644734903E-02
Mn2V2O7_1221818_POSCAR,10.1082809443,0.0042,0.0135,802.7314,15.4454,-1.3982152922895E-02
Mn2V2O7_1221818_POSCAR,10.3609879679,0.0035,0.0104,802.7315,15.4468,-1.2758919411210E-02
Mn2V2O7_1221818_POSCAR,10.6136949915,0.0029,0.0081,802.7316,15.4479,-1.1597247890902E-02
Mn2V2O7_1221818_POSCAR,11.1191090388,0.0021,0.0051,802.7318,15.4492,-9.4730597316424E-03
Mn2V2O7_1221818_POSCAR,10.8664020151,0.0025,0.0064,802.7317,15.4487,-1.0497493131072E-02
Mn2V2O7_1221818_POSCAR,11.3718160624,0.0018,0.0041,802.7319,15.4497,-8.5367898519776E-03
Mn2V2O7_1221818_POSCAR,11.6245230860,0.0016,0.0034,802.7319,15.4500,-7.6950487454361E-03
Mn2V2O7_1221818_POSCAR,12.1299371332,0.0012,0.0023,802.7320,15.4505,-6.2842991552836E-03
Mn2V2O7_1221818_POSCAR,11.8772301096,0.0014,0.0028,802.7320,15.4502,-6.9471945654678E-03
Mn2V2O7_1221818_POSCAR,12.3826441568,0.0010,0.0019,802.7320,15.4506,-5.6959738843845E-03
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_1295909_POSCAR,4.3013914919,11.3419,3.0790,113.8463,10.3708,-7.8169043273295E-02
Mn2V2O7_1295909_POSCAR,3.7953454340,14.8286,3.7757,113.8463,10.3708,-1.1083487543743E-01
Mn2V2O7_1295909_POSCAR,4.0483684630,13.2207,3.3324,113.8463,10.3708,-9.2730836611277E-02
Mn2V2O7_1295909_POSCAR,4.5544145208,9.5169,2.8379,113.8463,10.3708,-6.5998708187189E-02
Mn2V2O7_1295909_POSCAR,4.8074375498,7.9184,2.5345,113.8463,10.3714,-5.5936662924893E-02
Mn2V2O7_1295909_POSCAR,5.0604605787,6.4916,2.1805,113.8463,10.3800,-5.3161573583765E-02
Mn2V2O7_1295909_POSCAR,5.3134836077,5.1614,1.8307,239.5554,10.5125,-5.1433943188712E-02
Mn2V2O7_1295909_POSCAR,5.5665066366,3.9066,1.5351,239.5554,11.3343,-4.5869612286440E-02
Mn2V2O7_1295909_POSCAR,5.8195296655,2.7769,1.3150,239.5554,12.3064,-4.1224896997487E-02
Mn2V2O7_1295909_POSCAR,6.0725526945,1.8585,1.1560,239.5558,12.6592,-4.1607827308905E-02
Mn2V2O7_1295909_POSCAR,6.3255757234,1.1936,1.0268,242.2413,12.7893,-4.2543354380928E-02
Mn2V2O7_1295909_POSCAR,6.5785987523,0.7538,0.8980,594.9513,12.8929,-4.4726839659090E-02
Mn2V2O7_1295909_POSCAR,6.8316217813,0.4774,0.7542,794.3752,13.0988,-4.2298562671213E-02
Mn2V2O7_1295909_POSCAR,7.3376678391,0.2015,0.4491,802.5213,14.3687,-3.8340781837066E-02
Mn2V2O7_1295909_POSCAR,7.0846448102,0.3069,0.5989,801.8434,13.6032,-3.7524285385291E-02
Mn2V2O7_1295909_POSCAR,7.5906908681,0.1354,0.3216,802.6530,14.9409,-4.1021647307128E-02
Mn2V2O7_1295909_POSCAR,7.8437138970,0.0932,0.2239,802.6936,15.2127,-4.0961792703059E-02
Mn2V2O7_1295909_POSCAR,8.0967369259,0.0656,0.1541,802.7102,15.3294,-3.6368122182153E-02
Mn2V2O7_1295909_POSCAR,8.3497599549,0.0472,0.1060,802.7184,15.3828,-3.2379908776848E-02
Mn2V2O7_1295909_POSCAR,8.6027829838,0.0346,0.0735,802.7230,15.4098,-2.8949334767816E-02
Mn2V2O7_1295909_POSCAR,8.8558060128,0.0259,0.0517,802.7257,15.4246,-2.5968934829114E-02
Mn2V2O7_1295909_POSCAR,9.1088290417,0.0197,0.0368,802.7275,15.4334,-2.3358454107720E-02
Mn2V2O7_1295909_POSCAR,9.3618520706,0.0152,0.0267,802.7287,15.4389,-2.1060238430800E-02
Mn2V2O7_1295909_POSCAR,9.6148750996,0.0119,0.0196,802.7295,15.4425,-1.9024101477673E-02
Mn2V2O7_1295909_POSCAR,9.8678981285,0.0095,0.0147,802.7301,15.4449,-1.7208444118150E-02
Mn2V2O7_1295909_POSCAR,10.1209211574,0.0076,0.0111,802.7306,15.4465,-1.5577928526289E-02
Mn2V2O7_1295909_POSCAR,10.3739441864,0.0062,0.0086,802.7309,15.4477,-1.4102738211177E-02
Mn2V2O7_1295909_POSCAR,10.6269672153,0.0051,0.0067,802.7312,15.4485,-1.2761968863941E-02
Mn2V2O7_1295909_POSCAR,11.1330132732,0.0035,0.0042,802.7315,15.4496,-1.0427010576997E-02
Mn2V2O7_1295909_POSCAR,10.8799902442,0.0042,0.0053,802.7313,15.4492,-1.1539688671488E-02
Mn2V2O7_1295909_POSCAR,11.3860363021,0.0030,0.0034,802.7316,15.4500,-9.4170993219567E-03
Mn2V2O7_1295909_POSCAR,11.6390593311,0.0025,0.0028,802.7317,15.4502,-8.5033121784240E-03
Mn2V2O7_1295909_POSCAR,12.1451053889,0.0019,0.0019,802.7319,15.4506,-6.9347170172098E-03
Mn2V2O7_1295909_POSCAR,11.8920823600,0.0022,0.0023,802.7318,15.4505,-7.6783962004009E-03
Mn2V2O7_1295909_POSCAR,12.3981284179,0.0016,0.0016,802.7319,15.4508,-6.2641252055394E-03
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_19142_POSCAR,3.9780973190,13.6090,2.3665,113.8463,10.3729,-9.4522815175872E-02
Mn2V2O7_19142_POSCAR,4.4753594839,9.3846,2.1023,113.8463,10.3879,-6.7301254240974E-02
Mn2V2O7_19142_POSCAR,4.2267284015,11.5563,2.1866,113.8463,10.3796,-7.9652794986731E-02
Mn2V2O7_19142_POSCAR,3.7294662366,15.2353,2.7828,113.8463,10.3709,-1.1298259264323E-01
Mn2V2O7_19142_POSCAR,4.7239905663,7.4183,2.0593,113.8463,10.3949,-5.7103158345173E-02
Mn2V2O7_19142_POSCAR,5.2212527312,4.0600,2.0144,239.5554,10.4051,-5.2529590742772E-02
Mn2V2O7_19142_POSCAR,4.9726216488,5.6576,2.0341,239.4056,10.4002,-5.9931364081252E-02
Mn2V2O7_19142_POSCAR,5.4698838136,2.7125,1.9900,239.5554,10.4123,-4.6960335896320E-02
Mn2V2O7_19142_POSCAR,5.7185148961,1.7124,1.9482,239.5584,10.4283,-4.2906503140664E-02
Mn2V2O7_19142_POSCAR,5.9671459785,1.0507,1.8711,256.7529,10.4751,-3.9939387693781E-02
Mn2V2O7_19142_POSCAR,6.2157770610,0.6432,1.7373,736.2114,10.6513,-5.3680175159297E-02
Mn2V2O7_19142_POSCAR,6.4644081434,0.3995,1.5326,799.7085,11.3461,-4.8698140452013E-02
Mn2V2O7_19142_POSCAR,6.7130392258,0.2540,1.2664,802.2961,12.4479,-4.2481134699755E-02
Mn2V2O7_19142_POSCAR,6.9616703083,0.1659,0.9766,802.6061,12.8275,-3.7969029761781E-02
Mn2V2O7_19142_POSCAR,7.2103013907,0.1113,0.7098,802.6789,13.2057,-3.3703701457444E-02
Mn2V2O7_19142_POSCAR,7.7075635556,0.0540,0.3387,802.7156,14.8779,-4.1514460118891E-02
Mn2V2O7_19142_POSCAR,7.4589324732,0.0766,0.4955,802.7043,14.1220,-3.1940633045616E-02
Mn2V2O7_19142_POSCAR,7.9561946380,0.0390,0.2303,802.7215,15.1992,-3.7289834331139E-02
Mn2V2O7_19142_POSCAR,8.2048257205,0.0287,0.1573,802.7249,15.3250,-3.2999682286216E-02
Mn2V2O7_19142_POSCAR,8.7020878853,0.0165,0.0761,802.7284,15.4079,-2.5923537015115E-02
Mn2V2O7_19142_POSCAR,8.4534568029,0.0216,0.1087,802.7270,15.3803,-2.9214686956306E-02
Mn2V2O7_19142_POSCAR,8.9507189678,0.0128,0.0542,802.7293,15.4231,-2.3113534249210E-02
Mn2V2O7_19142_POSCAR,9.1993500502,0.0101,0.0392,802.7300,15.4321,-2.0750880808261E-02
Mn2V2O7_19142_POSCAR,9.4479811327,0.0081,0.0288,802.7305,15.4378,-1.8772318367080E-02
Mn2V2O7_19142_POSCAR,9.6966122151,0.0065,0.0214,802.7308,15.4416,-1.7085976193239E-02
Mn2V2O7_19142_POSCAR,10.1938743800,0.0044,0.0124,802.7313,15.4459,-1.4243818302088E-02
Mn2V2O7_19142_POSCAR,9.9452432975,0.0053,0.0162,802.7311,15.4441,-1.5601609213992E-02
Mn2V2O7_19142_POSCAR,10.4425054624,0.0037,0.0097,802.7315,15.4472,-1.2970895945486E-02
Mn2V2O7_19142_POSCAR,10.6911365449,0.0031,0.0076,802.7316,15.4481,-1.1767858835320E-02
Mn2V2O7_19142_POSCAR,10.9397676273,0.0026,0.0060,802.7317,15.4488,-1.0640965719974E-02
Mn2V2O7_19142_POSCAR,11.1883987097,0.0022,0.0049,802.7318,15.4493,-9.6023949696703E-03
Mn2V2O7_19142_POSCAR,11.4370297922,0.0019,0.0039,802.7319,15.4497,-8.6602534657498E-03
Mn2V2O7_19142_POSCAR,11.6856608746,0.0017,0.0032,802.7319,15.4500,-7.8165679060776E-03
Mn2V2O7_19142_POSCAR,11.9342919570,0.0014,0.0027,802.7320,15.4503,-7.0655289079159E-03
Mn2V2O7_19142_POSCAR,12.1829230395,0.0013,0.0022,802.7320,15.4505,-6.3974931528520E-03
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107,0.0000000000,read,real,scaling,value,N/A
Mn2V2O7_562107_POSCAR,4.9846204440,14.0456,3.9137,113.8463,10.3708,-4.1379209756392E-01
Mn2V2O7_562107_POSCAR,5.6492365033,10.0858,3.1345,113.8463,10.3708,-2.9075728627167E-01
Mn2V2O7_562107_POSCAR,5.3169284737,12.2037,3.4312,113.8463,10.3708,-3.4460418954193E-01
Mn2V2O7_562107_POSCAR,5.9815445329,7.9776,2.8696,113.8463,10.3708,-2.4734549147999E-01
Mn2V2O7_562107_POSCAR,6.6461605921,4.3499,2.1474,239.5554,10.3828,-2.2579991004886E-01
Mn2V2O7_562107_POSCAR,6.3138525625,6.0660,2.5402,113.8463,10.3713,-2.1196335209319E-01
Mn2V2O7_562107_POSCAR,6.9784686217,2.8862,1.7683,239.5554,10.5954,-2.0013249006407E-01
Mn2V2O7_562107_POSCAR,7.3107766513,1.7906,1.4705,239.5565,11.6459,-1.8183498148646E-01
Mn2V2O7_562107_POSCAR,7.6430846809,1.0739,1.2638,252.3212,12.4545,-1.6745561305004E-01
Mn2V2O7_562107_POSCAR,8.3077007401,0.3912,0.9958,800.0234,12.8130,-2.0443514748794E-01
Mn2V2O7_562107_POSCAR,7.9753927105,0.6426,1.1181,736.6993,12.7058,-2.1134498621797E-01
Mn2V2O7_562107_POSCAR,8.6400087697,0.2445,0.8680,802.3494,12.9234,-1.7702732105263E-01
Mn2V2O7_562107_POSCAR,8.9723167993,0.1574,0.7228,802.6212,13.1718,-1.5392471389635E-01
Mn2V2O7_562107_POSCAR,9.3046248289,0.1043,0.5673,802.6850,13.7506,-1.3700069071836E-01
Mn2V2O7_562107_POSCAR,9.6369328585,0.0711,0.4205,802.7074,14.5145,-1.2164899404804E-01
Mn2V2O7_562107_POSCAR,9.9692408881,0.0498,0.2985,802.7174,15.0186,-1.2530064146725E-01
Mn2V2O7_562107_POSCAR,10.3015489177,0.0357,0.2066,802.7226,15.2468,-1.4737731491102E-01
Mn2V2O7_562107_POSCAR,10.6338569473,0.0261,0.1416,802.7257,15.3449,-1.3067611413295E-01
Mn2V2O7_562107_POSCAR,10.9661649769,0.0195,0.0973,802.7276,15.3906,-1.1473330652559E-01
Mn2V2O7_562107_POSCAR,11.2984730065,0.0149,0.0675,802.7288,15.4141,-1.0094890481728E-01
Mn2V2O7_562107_POSCAR,11.6307810361,0.0115,0.0475,802.7296,15.4272,-8.9273658928018E-02
Mn2V2O7_562107_POSCAR,11.9630890657,0.0091,0.0339,802.7302,15.4351,-7.9569206328035E-02
Mn2V2O7_562107_POSCAR,12.2953970953,0.0072,0.0246,802.7307,15.4400,-7.1578630017830E-02
Mn2V2O7_562107_POSCAR,12.6277051249,0.0058,0.0181,802.7310,15.4432,-6.4946333255052E-02
Mn2V2O7_562107_POSCAR,12.9600131545,0.0048,0.0136,802.7312,15.4454,-5.9279372639336E-02
Mn2V2O7_562107_POSCAR,13.6246292137,0.0033,0.0079,802.7316,15.4480,-4.9562362835170E-02
Mn2V2O7_562107_POSCAR,13.2923211841,0.0039,0.0103,802.7314,15.4469,-5.4232412855091E-02
Mn2V2O7_562107_POSCAR,13.9569372433,0.0028,0.0062,802.7317,15.4487,-4.5146311237702E-02
Mn2V2O7_562107_POSCAR,14.2892452729,0.0023,0.0049,802.7318,15.4493,-4.0963244791301E-02
Mn2V2O7_562107_POSCAR,14.6215533025,0.0020,0.0039,802.7318,15.4497,-3.7051984753035E-02
Mn2V2O7_562107_POSCAR,14.9538613321,0.0017,0.0032,802.7319,15.4501,-3.3457303044282E-02
Mn2V2O7_562107_POSCAR,15.2861693617,0.0015,0.0026,802.7320,15.4503,-3.0207021636117E-02
Mn2V2O7_562107_POSCAR,15.6184773914,0.0013,0.0021,802.7320,15.4505,-2.7303547237091E-02
Mn2V2O7_562107_POSCAR,15.9507854210,0.0011,0.0018,802.7320,15.4507,-2.4722863681582E-02
Mn2V2O7_562107_POSCAR,16.2830934506,0.0010,0.0015,802.7321,15.4508,-2.2425738008873E-02
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562,0.0000000000,read,real,scaling,value,N/A
Mn2V3O12_849562_POSCAR,7.2097368000,11.2143,2.5143,113.8463,10.3714,-4.4336682961292E-01
